:nemesis	:info	:start-partition	:majorities-ring
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41]
4	:invoke	:broadcast	42
4	:ok	:broadcast	42
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42]
2	:invoke	:read	nil
2	:ok	:read	[1 5 10 13 19 20 26 30 35 39]
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42]
0	:invoke	:broadcast	43
0	:ok	:broadcast	43
0	:invoke	:broadcast	44
0	:ok	:broadcast	44
1	:invoke	:broadcast	45
1	:ok	:broadcast	45
2	:invoke	:broadcast	46
2	:ok	:broadcast	46
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45]
4	:invoke	:broadcast	47
4	:ok	:broadcast	47
0	:invoke	:broadcast	48
0	:ok	:broadcast	48
0	:invoke	:broadcast	49
0	:ok	:broadcast	49
1	:invoke	:broadcast	50
1	:ok	:broadcast	50
2	:invoke	:broadcast	51
2	:ok	:broadcast	51
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50]
4	:invoke	:broadcast	52
4	:ok	:broadcast	52
0	:invoke	:broadcast	53
0	:ok	:broadcast	53
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53]
1	:invoke	:broadcast	54
1	:ok	:broadcast	54
2	:invoke	:broadcast	55
2	:ok	:broadcast	55
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54]
4	:invoke	:broadcast	56
4	:ok	:broadcast	56
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
2	:invoke	:read	nil
2	:ok	:read	[1 5 10 13 19 20 26 30 35 39 46 51 55]
3	:invoke	:read	nil
4	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
2	:invoke	:broadcast	57
2	:ok	:broadcast	57
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56]
0	:invoke	:broadcast	58
0	:ok	:broadcast	58
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58]
1	:invoke	:broadcast	59
1	:ok	:broadcast	59
2	:invoke	:broadcast	60
2	:ok	:broadcast	60
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59]
1	:invoke	:broadcast	61
1	:ok	:broadcast	61
2	:invoke	:broadcast	62
2	:ok	:broadcast	62
3	:invoke	:broadcast	63
3	:ok	:broadcast	63
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
0	:invoke	:broadcast	64
0	:ok	:broadcast	64
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64]
1	:invoke	:broadcast	65
1	:ok	:broadcast	65
2	:invoke	:read	nil
2	:ok	:read	[1 5 10 13 19 20 26 30 35 39 46 51 55 57 60 62 64 65]
3	:invoke	:broadcast	66
3	:ok	:broadcast	66
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66]
0	:invoke	:broadcast	67
0	:ok	:broadcast	67
0	:invoke	:broadcast	68
0	:ok	:broadcast	68
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68]
2	:invoke	:broadcast	69
2	:ok	:broadcast	69
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69]
4	:invoke	:broadcast	70
4	:ok	:broadcast	70
0	:invoke	:broadcast	71
0	:ok	:broadcast	71
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71]
1	:invoke	:broadcast	72
1	:ok	:broadcast	72
2	:invoke	:broadcast	73
2	:ok	:broadcast	73
3	:invoke	:broadcast	74
3	:ok	:broadcast	74
4	:invoke	:broadcast	75
4	:ok	:broadcast	75
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75]
2	:invoke	:read	nil
2	:ok	:read	[1 5 10 13 19 20 26 30 35 39 46 51 55 57 60 62 64 65 66 67 68 69 70 71 72 73 74 75]
3	:invoke	:broadcast	76
3	:ok	:broadcast	76
4	:invoke	:broadcast	77
4	:ok	:broadcast	77
0	:invoke	:broadcast	78
0	:ok	:broadcast	78
0	:invoke	:broadcast	79
0	:ok	:broadcast	79
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79]
2	:invoke	:broadcast	80
2	:ok	:broadcast	80
3	:invoke	:broadcast	81
3	:ok	:broadcast	81
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81]
0	:invoke	:broadcast	82
0	:ok	:broadcast	82
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82]
1	:invoke	:broadcast	83
1	:ok	:broadcast	83
2	:invoke	:broadcast	84
2	:ok	:broadcast	84
3	:invoke	:broadcast	85
3	:ok	:broadcast	85
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85]
0	:invoke	:broadcast	86
0	:ok	:broadcast	86
1	:invoke	:broadcast	87
1	:ok	:broadcast	87
2	:invoke	:broadcast	88
2	:ok	:broadcast	88
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88]
4	:invoke	:broadcast	89
4	:ok	:broadcast	89
0	:invoke	:broadcast	90
0	:ok	:broadcast	90
0	:invoke	:broadcast	91
0	:ok	:broadcast	91
1	:invoke	:broadcast	92
1	:ok	:broadcast	92
2	:invoke	:broadcast	93
2	:ok	:broadcast	93
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93]
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93]
2	:invoke	:broadcast	94
2	:ok	:broadcast	94
3	:invoke	:read	nil
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94]
4	:invoke	:read	nil
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94]
0	:invoke	:broadcast	95
0	:ok	:broadcast	95
0	:invoke	:read	nil
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
1	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
0	:invoke	:read	nil
2	:invoke	:read	nil
1	:invoke	:read	nil
3	:invoke	:read	nil
4	:invoke	:read	nil
1	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
0	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
4	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
2	:ok	:read	[1 5 10 13 19 20 26 30 35 39 46 51 55 57 60 62 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
3	:ok	:read	[0 2 3 4 6 7 8 9 11 12 14 15 16 17 18 21 22 23 24 25 27 28 29 31 32 33 34 36 37 38 40 41 42 43 44 45 47 48 49 50 52 53 54 56 58 59 61 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95]
